trans_id,transactions,customer_age
100,"citrus fruit,tropical fruit",37
101,"soda,misc. beverages",21
102,"sausage,pork,grapes,whole milk,rolls/buns,pastry,soda,specialty bar,bathroom cleaner",30
103,"frankfurter,rolls/buns,bottled water",30
104,"sausage,whole milk,yogurt,coffee,fruit/vegetable juice,bottled beer,softener,napkins,photo/film,shopping bags",40
105,soda,47
106,"rolls/buns,fruit/vegetable juice",58
107,"beef,citrus fruit,berries,root vegetables,brown bread,detergent",21
108,"whole milk,whipped/sour cream,rolls/buns,soda,waffles,candy,cling film/bags",56
109,processed cheese,57
110,"tropical fruit,pip fruit",54
111,"frankfurter,sausage,root vegetables,other vegetables,rolls/buns,oil,pickled vegetables,bottled beer,chewing gum,dishes",24
112,"packaged fruit/vegetables,bottled water",70
113,"whole milk,dessert,frozen vegetables,rolls/buns,margarine,bottled water,red/blush wine,newspapers",23
114,"berries,whipped/sour cream",24
115,"citrus fruit,berries,UHT-milk,processed cheese",51
116,"tropical fruit,whole milk,yogurt",79
117,"hamburger meat,whole milk,frozen vegetables,rolls/buns,bottled beer,sparkling wine",53
118,"hamburger meat,other vegetables,whole milk,frozen vegetables,domestic eggs,soda,dishes",42
119,"whole milk,cream cheese ,soda",53
120,"fish,other vegetables,pastry,margarine,coffee,long life bakery product,male cosmetics,shopping bags",74
121,"frankfurter,sausage,long life bakery product,waffles",33
122,"packaged fruit/vegetables,dessert,semi-finished bread,canned beer",23
123,"pastry,soda",68
124,"other vegetables,red/blush wine",51
125,misc. beverages,69
126,"frankfurter,sausage,citrus fruit,tropical fruit,pip fruit,whole milk,hard cheese,cream cheese ,domestic eggs,rice,sugar,canned fruit,misc. beverages,fruit/vegetable juice,hygiene articles",71
127,sparkling wine,40
128,specialty bar,70
129,"sausage,butter milk,rolls/buns",65
130,curd cheese,48
131,"frankfurter,dessert",56
132,"whole milk,yogurt,beverages,brown bread,shopping bags",27
133,newspapers,60
134,"berries,soda",62
135,"curd,flour,liquor (appetizer)",73
136,"tropical fruit,other vegetables,coffee",54
137,soda,22
138,"rolls/buns,Instant food products",46
139,canned beer,32
140,canned beer,56
141,"frankfurter,sausage,whole milk,rolls/buns,margarine",41
142,"other vegetables,misc. beverages,canned beer",74
143,"whole milk,frozen vegetables",69
144,whole milk,47
145,"citrus fruit,butter,cream cheese ,white bread,oil,margarine,newspapers",41
146,"frankfurter,rolls/buns",68
147,"frankfurter,ham,pip fruit,other vegetables,whole milk,soft cheese,frozen vegetables,rolls/buns,sugar,baking powder",77
148,"butter milk,yogurt,honey,soda,detergent",63
149,"hamburger meat,citrus fruit,onions,rolls/buns,bottled water,dental care",32
150,"pasta,popcorn",40
151,"other vegetables,whole milk,meat spreads,cake bar,chocolate,shopping bags",66
152,"sausage,pork,citrus fruit,dessert,white bread,dishes,candles",61
153,rolls/buns,40
154,"grapes,other vegetables,curd,dessert,yogurt,napkins",80
155,"root vegetables,other vegetables,whole milk,yogurt,beverages,soft cheese,frozen vegetables,fruit/vegetable juice,bottled beer",26
156,"coffee,shopping bags",34
157,popcorn,30
158,"whole milk,rolls/buns,sugar,bottled water,soda",40
159,"tropical fruit,other vegetables,packaged fruit/vegetables,whole milk,snack products",56
160,"beef,herbs,flour,cling film/bags,flower soil/fertilizer",17
161,"whole milk,butter,dessert,rolls/buns",78
162,"frankfurter,soda,chewing gum",73
163,"tropical fruit,specialty cheese,bottled water",39
164,canned beer,60
165,"finished products,other vegetables,frozen vegetables,bottled beer",24
166,"beverages,soda",75
167,"hamburger meat,root vegetables,whole milk",19
168,"whole milk,pastry,long life bakery product",67
169,"finished products,white wine,shopping bags",42
170,other vegetables,19
171,"ham,tropical fruit,other vegetables,whole milk,white bread,brown bread,fruit/vegetable juice,bottled beer",49
172,other vegetables,58
173,"curd,butter milk,cocoa drinks,salty snack,popcorn",18
174,bottled beer,20
175,"curd,dessert,soda,salty snack,waffles,cake bar,chocolate,shopping bags",35
176,"whole milk,cream cheese ,cereals,dog food",35
177,"whole milk,salt",22
178,"dessert,ice cream",56
179,"sausage,soft cheese,coffee",18
180,"other vegetables,bottled water,waffles,dishes,shopping bags",79
181,"ham,whole milk,rolls/buns",69
182,"other vegetables,ice cream",54
183,"other vegetables,bottled water",36
184,"soda,bottled beer,white wine,prosecco",47
185,"herbs,candy",64
186,"frankfurter,ham,tropical fruit,pip fruit,root vegetables,other vegetables,whole milk,butter,curd,yogurt,whipped/sour cream,soft cheese,sliced cheese,cream cheese ,frozen meals,frozen fish,domestic eggs,white bread,sugar,cereals,fruit/vegetable juice,bottled beer,waffles",24
187,"rolls/buns,canned beer",69
188,"curd,cream cheese ,semi-finished bread,zwieback,cake bar,specialty bar,shopping bags",51
189,"frankfurter,tropical fruit,whole milk,spread cheese,margarine,shopping bags",39
190,other vegetables,29
191,dog food,42
192,specialty bar,48
193,"curd,salt,liquor (appetizer),detergent,shopping bags",40
194,"frankfurter,rolls/buns",79
195,soda,80
196,"beef,berries,root vegetables,whole milk,dessert,spread cheese,brown bread",26
197,canned beer,41
198,"pork,beef,pip fruit,herbs,spices",31
199,"frankfurter,citrus fruit,UHT-milk,margarine,sugar",62
200,"sausage,bottled beer,liquor (appetizer)",20
201,canned beer,22
202,specialty chocolate,60
203,"curd,rolls/buns",33
204,canned beer,72
205,"whole milk,bottled water,newspapers",49
206,"rolls/buns,chewing gum",46
207,"pork,root vegetables,other vegetables,whole milk,dishes",35
208,"citrus fruit,pastry",22
209,pot plants,75
210,"rolls/buns,pastry,soda",32
211,"butter,yogurt,bottled water,soda,make up remover,hygiene articles",70
212,"condensed milk,sugar,coffee,shopping bags",56
213,"sausage,other vegetables,yogurt,soda,shopping bags",38
214,"whole milk,beverages,UHT-milk,soda",73
215,"sausage,pork,beef,whole milk,rolls/buns,margarine",17
216,beverages,39
217,"beverages,specialty bar",41
218,"bottled water,fruit/vegetable juice",24
219,newspapers,36
220,"cleaner,female sanitary products",64
221,"sausage,soda,newspapers,shopping bags",16
222,newspapers,56
223,"sausage,beef,citrus fruit,other vegetables,whole milk,butter milk,whipped/sour cream,beverages,hard cheese,rolls/buns,dish cleaner,cookware",79
224,"misc. beverages,newspapers",41
225,white wine,69
226,"sausage,sliced cheese,rolls/buns,soda,canned beer,shopping bags",41
227,"meat,curd,bottled beer,cake bar",68
228,"frankfurter,meat,tropical fruit,onions,oil,baking powder,tea,cling film/bags",57
229,"ice cream,rolls/buns,canned beer",38
230,canned beer,53
231,"tropical fruit,berries,root vegetables,other vegetables,bottled water,shopping bags",60
232,"meat,citrus fruit,other vegetables,curd,dessert,butter milk,beverages,cream cheese ,rolls/buns,brown bread,tea,bottled water",51
233,"whole milk,mustard,bottled water",71
234,"sausage,beef,beverages,sliced cheese,rolls/buns,spices,house keeping products,flower (seeds)",71
235,"frankfurter,sausage,root vegetables,butter,curd,sliced cheese,rolls/buns,salty snack,long life bakery product",35
236,"meat,other vegetables,butter,rolls/buns",37
237,"root vegetables,beverages,Instant food products,pickled vegetables,detergent",53
238,"root vegetables,herbs,other vegetables,whole milk,sliced cheese,rolls/buns",30
239,"whole milk,whipped/sour cream,semi-finished bread,margarine",24
240,"citrus fruit,whole milk,curd,dessert,yogurt,whipped/sour cream,frozen dessert,rolls/buns,salt,sugar,cereals,canned vegetables,canned fish,skin care,hygiene articles,napkins",29
241,"citrus fruit,curd,pastry,margarine,sugar,candy,newspapers",19
242,"other vegetables,whole milk,bottled water,soda,misc. beverages,bottled beer,red/blush wine,napkins",68
243,"citrus fruit,whole milk,rolls/buns",50
244,"sausage,oil,hygiene articles,napkins",79
245,"frankfurter,beef,hamburger meat,grapes,root vegetables,whole milk,butter,frozen dessert,potato products,bottled water,bottled beer",18
246,"hard cheese,rolls/buns,bottled water,newspapers",24
247,"cream cheese ,rolls/buns,soda,chocolate",73
248,"turkey,beef,frozen vegetables,dishes,photo/film",72
249,"pork,other vegetables,whipped/sour cream,rolls/buns,soda,shopping bags",17
250,"whole milk,beverages",16
251,"rolls/buns,soda",62
252,"sausage,pip fruit,whole milk,curd,yogurt,sliced cheese,rolls/buns,bottled water,hygiene articles",60
253,ice cream,60
254,liquor,55
255,"pip fruit,other vegetables,fruit/vegetable juice",25
256,"root vegetables,other vegetables,yogurt",47
257,soda,17
258,soda,48
259,"sausage,citrus fruit,tropical fruit,other vegetables,whole milk,yogurt,rolls/buns,bottled water,soda,chocolate,newspapers",44
260,"root vegetables,whole milk,pet care,detergent",60
261,"pork,berries,root vegetables,other vegetables,pastry,specialty bar",60
262,pork,49
263,chocolate,52
264,fruit/vegetable juice,56
265,"pickled vegetables,coffee",36
266,bottled water,58
267,"frankfurter,sausage,butter,whipped/sour cream,rolls/buns,margarine,spices",74
268,"tropical fruit,pip fruit,onions,other vegetables,whole milk,domestic eggs,sugar,soups,tea,soda,hygiene articles,napkins",61
269,canned beer,47
270,root vegetables,51
271,"meat,citrus fruit,berries,root vegetables,whole milk,soda",52
272,"frankfurter,rolls/buns,bottled water,fruit/vegetable juice,hygiene articles",39
273,"tropical fruit,margarine,rum",64
274,"tropical fruit,root vegetables,herbs,whole milk,butter milk,whipped/sour cream,flour,hygiene articles",60
275,"citrus fruit,pip fruit,root vegetables,other vegetables,whole milk,cream cheese ,domestic eggs,brown bread,margarine,baking powder,waffles",80
276,"hamburger meat,other vegetables,whole milk,curd,yogurt,rolls/buns,pastry,semi-finished bread,margarine,bottled water,fruit/vegetable juice",24
277,"chicken,pip fruit,other vegetables,whole milk,dessert,yogurt,whipped/sour cream,rolls/buns,pasta,soda,waffles",59
278,"chicken,citrus fruit,tropical fruit,root vegetables,whole milk,frozen fish,rolls/buns",62
279,"frankfurter,citrus fruit,onions,other vegetables,whole milk,rolls/buns,sugar,soda",49
280,canned beer,39
281,"turkey,pip fruit,salad dressing,pastry",38
282,"packaged fruit/vegetables,whole milk,curd,yogurt,domestic eggs,brown bread,mustard,pickled vegetables,bottled water,misc. beverages",73
283,pasta,18
284,"citrus fruit,tropical fruit",29
285,"sausage,whole milk,yogurt,rolls/buns,brown bread,pot plants",50
286,"whole milk,frozen meals,pastry,fruit/vegetable juice,waffles",70
287,canned beer,51
288,"citrus fruit,sugar,sauces",30
289,liquor (appetizer),77
290,"citrus fruit,other vegetables,rolls/buns,salty snack,shopping bags",78
291,sausage,74
292,"chicken,other vegetables,whole milk,vinegar,oil,bottled water,canned beer,napkins,newspapers",31
293,"hamburger meat,root vegetables,other vegetables,whole milk,yogurt,whipped/sour cream,specialty cheese,flour,margarine",60
294,"sausage,pork,other vegetables,dessert,yogurt,oil,soda",53
295,"beef,berries,root vegetables,whole milk,whipped/sour cream,abrasive cleaner",68
296,"citrus fruit,packaged fruit/vegetables,yogurt,bottled water",21
297,"UHT-milk,coffee",62
298,candy,62
299,newspapers,76
300,"beef,citrus fruit,other vegetables,yogurt",67
301,"sausage,rolls/buns",22
302,"frankfurter,beef,root vegetables,curd,dessert,yogurt,soft cheese,rolls/buns,mustard,pickled vegetables,canned beer,hygiene articles,napkins",54
303,canned beer,56
304,bottled beer,24
305,"onions,soda,chewing gum,chocolate,newspapers",60
306,"tropical fruit,packaged fruit/vegetables,cream cheese ,white bread,candy",43
307,"bottled water,white wine",17
308,"beef,white bread,pastry,pasta,soap",49
309,"sausage,chicken,tropical fruit,root vegetables,whole milk,yogurt,candy,abrasive cleaner,cleaner",80
310,hair spray,50
311,"chicken,whole milk,spices,long life bakery product,shopping bags",48
312,"pork,citrus fruit,brown bread,pastry,sugar,cat food",63
313,ice cream,31
314,"meat,hard cheese,bottled beer",49
315,"other vegetables,yogurt,brown bread,instant coffee",65
316,"bottled water,cake bar",23
317,"tropical fruit,soda,salty snack",22
318,photo/film,20
319,"sausage,citrus fruit,yogurt,coffee,soda,canned beer,dishes",63
320,"grapes,root vegetables",78
321,"domestic eggs,brown bread,photo/film",75
322,"rolls/buns,canned fish,canned beer",37
323,"tropical fruit,whole milk",69
324,chicken,24
325,"frankfurter,other vegetables,yogurt,brown bread,bottled water",44
326,"berries,root vegetables,other vegetables,curd,butter milk,cream cheese ,roll products ,margarine,misc. beverages,specialty chocolate,detergent",36
327,"margarine,hygiene articles",32
328,"tropical fruit,yogurt,rolls/buns,soda,shopping bags",48
329,"ham,other vegetables,whipped/sour cream,hard cheese,rolls/buns,soda,misc. beverages,chocolate,candy",50
330,"hamburger meat,white bread,salty snack",18
331,"yogurt,mayonnaise,rolls/buns,soda,napkins",17
332,"soda,specialty chocolate",50
333,yogurt,51
334,soda,76
335,bottled water,73
336,"sausage,meat,hamburger meat,rubbing alcohol",32
337,"citrus fruit,pip fruit,beverages,hard cheese,pet care,soda,fruit/vegetable juice,waffles",70
338,shopping bags,72
339,newspapers,50
340,"frankfurter,other vegetables,whole milk,curd,frozen potato products,zwieback,specialty bar,dish cleaner",43
341,"sausage,citrus fruit,whole milk,canned beer",69
342,"frankfurter,rolls/buns",28
343,"salt,salty snack,cookware",68
344,oil,45
345,"curd,beverages,cream cheese ,rolls/buns,pastry,soda,cake bar,chewing gum",24
346,"other vegetables,butter,specialty chocolate",72
347,citrus fruit,39
348,"frankfurter,whole milk,butter milk",27
349,"root vegetables,whole milk,butter,processed cheese,mayonnaise,salty snack",58
350,"tropical fruit,whole milk,frozen meals,bottled beer",38
351,"beef,hamburger meat,pip fruit",75
352,"berries,whipped/sour cream,cereals,waffles,shopping bags",42
353,canned beer,30
354,"whipped/sour cream,canned beer,red/blush wine",44
355,"root vegetables,domestic eggs,margarine,chocolate marshmallow,candy",74
356,"whole milk,soda",35
357,beef,27
358,frozen vegetables,63
359,"rolls/buns,bottled beer",57
360,"whole milk,hygiene articles",28
361,whole milk,74
362,"citrus fruit,whole milk,curd,soft cheese",31
363,"pastry,fruit/vegetable juice",80
364,"frankfurter,sausage,pork,pip fruit,butter,processed cheese,white bread,brown bread",69
365,"tropical fruit,root vegetables,whole milk,whipped/sour cream,domestic eggs",34
366,"frankfurter,sausage,root vegetables,yogurt,whipped/sour cream,pastry,napkins",18
367,"berries,root vegetables,other vegetables,packaged fruit/vegetables,whole milk,curd,curd cheese,cat food,specialty bar,detergent",20
368,"rolls/buns,brown bread,pastry,coffee,bottled beer",53
369,"root vegetables,packaged fruit/vegetables,curd,dessert,frozen vegetables,specialty fat,coffee",65
370,yogurt,64
371,"other vegetables,bottled water",64
372,"berries,white bread",64
373,"berries,coffee",29
374,"other vegetables,butter milk,frozen meals,bottled water",71
375,"rolls/buns,newspapers",29
376,"ham,citrus fruit,whole milk,whipped/sour cream,rolls/buns,pastry,waffles,hygiene articles",22
377,"whole milk,frozen dessert,salty snack,napkins",37
378,"tropical fruit,butter milk,rolls/buns,bottled water",37
379,bottled water,49
380,"butter milk,yogurt",74
381,newspapers,27
382,coffee,40
383,"bottled beer,liquor",24
384,"onions,butter,whipped/sour cream,hard cheese,frozen vegetables,pasta,specialty fat,syrup,candy,napkins,cling film/bags",28
385,"hamburger meat,hard cheese,frozen meals,pasta,dog food,salty snack,shopping bags",21
386,"sausage,liver loaf,other vegetables,cream cheese ,pastry,soap,shopping bags",22
387,"hard cheese,pastry,napkins",32
388,"sausage,tropical fruit,condensed milk,rolls/buns",45
389,hamburger meat,57
390,"onions,whole milk,beverages,frozen dessert",32
391,coffee,23
392,shopping bags,47
393,"yogurt,rolls/buns,pastry,bottled water,soda,shopping bags",79
394,soda,23
395,sliced cheese,43
396,"sausage,whole milk,coffee",34
397,"yogurt,chocolate",55
398,"domestic eggs,rolls/buns,dish cleaner,hygiene articles",65
399,whole milk,44
400,"meat,other vegetables,whole milk,whipped/sour cream",64
401,"dish cleaner,bathroom cleaner,hygiene articles,napkins",48
402,"other vegetables,red/blush wine",40
403,"whole milk,butter milk,yogurt,sliced cheese,rolls/buns,sweet spreads,coffee,fruit/vegetable juice,long life bakery product,shopping bags",54
404,"other vegetables,whole milk,rolls/buns,Instant food products",23
405,"tropical fruit,other vegetables",68
406,"baking powder,bottled water,salty snack,chewing gum",24
407,specialty bar,59
408,ice cream,28
409,"frankfurter,yogurt",41
410,canned beer,43
411,bottled water,58
412,"other vegetables,whole milk,rolls/buns,margarine,bottled water,bottled beer",75
413,"citrus fruit,tropical fruit,onions,other vegetables,shopping bags",73
414,"sausage,ham,hamburger meat,whole milk,soda,softener,newspapers",71
415,"domestic eggs,rolls/buns,specialty bar,napkins",56
416,"pork,citrus fruit,tropical fruit,root vegetables,other vegetables,curd,hygiene articles",45
417,"specialty cheese,frozen vegetables,coffee,soda,fruit/vegetable juice,salty snack",51
418,"pork,citrus fruit,pip fruit,yogurt,fruit/vegetable juice,sparkling wine",61
419,"beef,berries,whipped/sour cream,domestic eggs,rolls/buns",25
420,"other vegetables,pet care",63
421,"chicken,yogurt,sliced cheese,rolls/buns,chewing gum,dishes",64
422,"soda,chewing gum",70
423,whole milk,20
424,rolls/buns,17
425,bottled beer,39
426,"root vegetables,pastry,bottled water,male cosmetics",45
427,pastry,71
428,"berries,pet care,cake bar,shopping bags",17
429,"citrus fruit,tropical fruit,root vegetables,yogurt,canned vegetables,bottled water,soda,softener",76
430,"whole milk,oil,canned fruit,fruit/vegetable juice",68
431,"soda,misc. beverages",71
432,"bottled water,soda",41
433,"tropical fruit,other vegetables,rolls/buns",24
434,salty snack,33
435,"bottled water,canned beer",48
436,chocolate,42
437,"citrus fruit,UHT-milk,cream cheese ,frozen vegetables",65
438,"bottled water,canned beer,male cosmetics",70
439,"onions,other vegetables,pastry,bottled water,soda,napkins",35
440,"dessert,oil,cat food,soda",63
441,"beef,other vegetables,whole milk,frozen potato products,rolls/buns,oil,margarine,coffee,dental care,hygiene articles,newspapers",38
442,"rolls/buns,zwieback,bottled water,misc. beverages,bottled beer,canned beer,brandy",45
443,"beef,tropical fruit,root vegetables,onions,other vegetables,instant coffee,soda",57
444,soda,76
445,"coffee,hygiene articles",66
446,"rolls/buns,brown bread,bottled water",43
447,"pork,beef,hamburger meat,other vegetables,whole milk,frozen vegetables,rolls/buns,margarine,shopping bags",30
448,"soda,canned beer,liquor (appetizer),hygiene articles,napkins,newspapers",50
449,"sausage,ham,other vegetables,ice cream,white bread",21
450,"beef,root vegetables,other vegetables,rolls/buns,sugar",54
451,"whole milk,butter,bottled water,bottled beer",62
452,"pork,ice cream,hygiene articles,house keeping products",21
453,"berries,packaged fruit/vegetables,whole milk,ice cream,fruit/vegetable juice,salty snack,specialty bar",70
454,"sausage,other vegetables,curd,yogurt,whipped/sour cream,frozen vegetables,rolls/buns,roll products ",29
455,"bottled water,misc. beverages,cling film/bags",55
456,"tropical fruit,other vegetables,packaged fruit/vegetables,whole milk,hard cheese,frozen dessert,rice,bottled water",21
457,"herbs,bottled water",59
458,"yogurt,rolls/buns",59
459,Instant food products,60
460,specialty chocolate,35
461,coffee,21
462,"bottled beer,liquor",48
463,"beef,root vegetables",48
464,"whole milk,honey,waffles",72
465,"frankfurter,rolls/buns,pastry,snack products,specialty bar",60
466,"frankfurter,sausage,liver loaf,root vegetables,curd,frozen vegetables,rolls/buns,semi-finished bread,hygiene articles,photo/film",46
467,"other vegetables,whole milk,cream cheese ",71
468,"frankfurter,root vegetables,pickled vegetables,soda,seasonal products",66
469,"whole milk,rolls/buns,newspapers",75
470,"frankfurter,margarine,dental care",38
471,"other vegetables,salty snack",32
472,"bottled water,shopping bags",47
473,"pork,onions,whole milk,butter,rolls/buns,pastry,rum,hygiene articles",54
474,bottled water,36
475,"other vegetables,whipped/sour cream,specialty cheese,domestic eggs",51
476,"hamburger meat,whole milk,curd,pasta,canned beer",56
477,"hamburger meat,citrus fruit,other vegetables",75
478,shopping bags,71
479,"whole milk,cream cheese ,soda,fruit/vegetable juice",18
480,ice cream,20
481,"pastry,bottled water",75
482,"ham,pip fruit,whole milk,curd,dessert,butter milk,whipped/sour cream,sliced cheese,cream cheese ,white bread,coffee,long life bakery product,chocolate,baby cosmetics",78
483,"frankfurter,soda",32
484,"sausage,turkey,beef,root vegetables,domestic eggs,rolls/buns,flour,rice,organic products,misc. beverages,napkins",64
485,bottled beer,29
486,"bottled water,bottled beer,napkins",16
487,"meat,other vegetables,hard cheese,frozen meals,bottled water,soda",20
488,"dessert,candy",72
489,"other vegetables,packaged fruit/vegetables,UHT-milk,bottled water",29
490,"beverages,rolls/buns,soda",76
491,"ham,mustard,canned fish",16
492,specialty bar,53
493,"brown bread,soda,salty snack,shopping bags",30
494,"whole milk,cream cheese ,coffee",73
495,"rolls/buns,pastry,red/blush wine",41
496,"bottled beer,nut snack",57
497,"pet care,bottled beer",54
498,"citrus fruit,other vegetables,soda",52
499,"pork,other vegetables,frozen vegetables,hygiene articles",17
500,"other vegetables,shopping bags",24
501,"white wine,detergent",66
502,"whole milk,dessert,bottled water",64
503,"pip fruit,white wine,shopping bags",58
504,"sugar,soda,bottled beer",61
505,"tropical fruit,pip fruit,rolls/buns,coffee,fruit/vegetable juice,candy",52
506,"root vegetables,cream cheese ,spread cheese,frozen dessert,white bread,bottled water,soda,misc. beverages,fruit/vegetable juice,bottled beer",76
507,"soda,misc. beverages",43
508,"whole milk,curd",60
509,"tropical fruit,other vegetables,yogurt,bottled water,male cosmetics",64
510,"white bread,brown bread",25
511,"brown bread,sugar,hygiene articles",31
512,"tropical fruit,root vegetables,coffee,bottled water,red/blush wine,candy,house keeping products,shopping bags",26
513,domestic eggs,58
514,"coffee,detergent,hygiene articles,photo/film",19
515,soda,71
516,whole milk,32
517,bottled beer,17
518,"pork,beef,berries,packaged fruit/vegetables,whole milk,mayonnaise,frozen fish,frozen potato products,oil,mustard,cat food,coffee,soda,chocolate,dish cleaner,napkins,newspapers",64
519,"other vegetables,yogurt",43
520,"yogurt,bottled water,dishes",43
521,sparkling wine,42
522,"bottled water,candy",36
523,"citrus fruit,berries,other vegetables,butter milk,sugar,fruit/vegetable juice,hygiene articles",62
524,"hamburger meat,root vegetables,other vegetables,whole milk,rolls/buns",71
525,"packaged fruit/vegetables,seasonal products",64
526,"other vegetables,margarine",69
527,soda,74
528,"whole milk,yogurt,frozen potato products,margarine,bottled water,fruit/vegetable juice,salty snack",36
529,"herbs,yogurt",46
530,"citrus fruit,spread cheese,rolls/buns,soda",52
531,misc. beverages,22
532,female sanitary products,66
533,soda,18
534,"tropical fruit,whole milk,beverages,white bread,pasta,shopping bags",66
535,"soda,female sanitary products",17
536,"white bread,bottled water,soda,waffles",47
537,"coffee,chewing gum,chocolate marshmallow",46
538,"tropical fruit,root vegetables,whole milk,frozen vegetables,honey,baking powder,coffee,red/blush wine,chocolate marshmallow",17
539,"pork,pip fruit,whole milk,butter milk",53
540,"citrus fruit,bottled water",68
541,frankfurter,30
542,"frankfurter,rolls/buns",67
